n,2 feat; rho_{12} = -0.8,2 feat; rho_{12} = -0.4,2 feat; rho_{12} = 0,2 feat; rho_{12} = 0.4,2 feat; rho_{12} = 0.8,3 feat; rho_{12} = -0.8,3 feat; rho_{12} = -0.4,3 feat; rho_{12} = 0,3 feat; rho_{12} = 0.4,3 feat; rho_{12} = 0.8
2,0.08881387591959977,0.12208848626174973,0.14961597175956023,0.16956762926558547,0.1833571448739469,0.17561928067515048,0.18613893321482794,0.19554385203161487,0.2051183269305826,0.21262585357699196
4,0.02944189140294729,0.09319401737843332,0.13931926988120763,0.16681512725966371,0.18058671159813997,0.08860945055728676,0.13617110705356789,0.16679037178082978,0.18759734066486805,0.2016303930122006
8,0.010559902557124202,0.06984899113528978,0.11961035043555324,0.15392813724150836,0.17250628205958918,0.031392095861407156,0.09286956009012894,0.13629396484958725,0.1639529748901716,0.1811505238583751
16,0.004838674333409045,0.05335890283769955,0.1018229187078666,0.13887070687521888,0.1628387430617282,0.010838369108367175,0.06333271326719117,0.10613054282704679,0.1366429816974176,0.15683016591683385
32,0.0025948675337657784,0.044550127286222575,0.0915285032009757,0.1286876562083884,0.15622650778130717,0.004486593125479323,0.046909522760368895,0.08747721227189195,0.11885712213931014,0.14095985108490094
64,0.0016568424311994886,0.03970958339287683,0.0853413040783012,0.1228262006381292,0.15189777771813598,0.002429602880756796,0.038389135187930606,0.07753200048328886,0.10850593777432842,0.13215686726268405
128,0.0013213174949229828,0.03694643785265739,0.08230571695728817,0.11973698662280463,0.14939269365622174,0.00159827983166559,0.03397185586605766,0.07239225284160197,0.10348462205009808,0.12731332728595468
256,0.001094682329857531,0.035557092590702964,0.08050528234249497,0.11785407614423869,0.14778577342229288,0.001154587293427218,0.031651388907345264,0.06976271174747317,0.10041495182474912,0.12460000312100045
512,0.0009786085885898112,0.03477599183488883,0.07962279696976074,0.11688220111361168,0.14680839460273792,0.0009879037820709473,0.030525073313068977,0.06823917340287779,0.09897497039525749,0.12311461093212984
1024,0.0008953695967858368,0.034383981154630795,0.07914406312225979,0.11645716103421652,0.146405123984037,0.0008562794886321694,0.029846956758958692,0.06751624922913378,0.09828786448366358,0.1224400566648978
