n,1 feat,sigma_2 = 1,sigma_2 = 2,sigma_2 = 3,sigma_2 = 4,sigma_2 = 5,sigma_2 = 6,sigma_2 = 7
2,0.18807057094132154,0.14984564953030793,0.23276193816763724,0.2667441026519385,0.28183802350795684,0.28991518109400316,0.29415303232506146,0.29627341387462564
4,0.18551787342966425,0.1390343126417864,0.21744806599074237,0.24480663019170007,0.25612682877035503,0.26136951256754176,0.2646573262029578,0.26681144346687563
8,0.1775904496181953,0.11969512969532031,0.18964027255098956,0.21019739416665087,0.2181979096944614,0.22182618443536217,0.22367163477638602,0.22537730214098098
16,0.16988901651982685,0.10249251094770684,0.16338245395273746,0.18026609280853045,0.18693683737372555,0.19013938493621765,0.1913727552484894,0.19270149284317678
32,0.16450641597772736,0.0918449225161765,0.1483063837440379,0.1627736925941033,0.168297206123742,0.17086879309543185,0.17242158375971725,0.17343046435061876
64,0.1617197977057181,0.08557628970441235,0.1400404266812553,0.15440350506296846,0.1598017418435806,0.16259970948122504,0.1638917016455705,0.1647225221665356
128,0.16013736484467037,0.08228495194349215,0.13564762295774305,0.14985770989459538,0.15537350174535486,0.15802591126368562,0.1596028993278146,0.16035243677576017
256,0.15941908318016162,0.08044731709288853,0.13362333465020343,0.14787374571088072,0.15326550151773086,0.15581414466531593,0.15723547620067996,0.15812677153911278
512,0.15905061491745198,0.07957991304440258,0.13273762397609762,0.1468743034020844,0.1522723015169133,0.15487668935441792,0.15632264673773277,0.15717474896811795
1024,0.1588650408503904,0.07911460763335047,0.1322880095018822,0.1464549757353952,0.1518493065583687,0.15443720630485058,0.15588321658186968,0.15674886796184956
