n,1 feat,rho_{13} = rho_{23} = -0.8,rho_{13} = rho_{23} = -0.4,rho_{13} = rho_{23} = 0,rho_{13} = rho_{23} = 0.4,rho_{13} = rho_{23} = 0.8
2,0.18801548288366615,0.08758542951462323,0.12175288636105677,0.14984564953030793,0.16908206187749664,0.1822609002630891
4,0.18533735405380397,0.02895802746896409,0.09341640888061135,0.1390343126417864,0.1673837209492226,0.18087372123841042
8,0.17758423473602264,0.010807336684007622,0.07027038908375778,0.11969512969532031,0.15406799225456805,0.17260030121228603
16,0.1695474686567039,0.004759410651597773,0.05375559238838577,0.10249251094770684,0.13946788653945025,0.16347406074575088
32,0.16436460311328374,0.0025720243139434355,0.04445241681663572,0.0918449225161765,0.12898538215011054,0.15645656769555844
64,0.161685354588058,0.0016792803699513276,0.039643854440568574,0.08557628970441235,0.12327128831738683,0.1522985885356813
128,0.16008066821285724,0.001260192170132182,0.03697904431966693,0.08228495194349215,0.11975404706878767,0.14948556873368044
256,0.15938751668333712,0.0010720554911145307,0.035565583287925466,0.08044731709288853,0.11785409487777244,0.14772669150716802
512,0.15901645924177016,0.0009600571000186746,0.03476340568171725,0.07957991304440258,0.11689153722653797,0.14682633884942944
1024,0.15886844978113496,0.0009034278101909455,0.03434906941747078,0.07911460763335047,0.1164984856851781,0.1464410747270823
