n,2 feat,rho_{13} = rho_{23} = 0.0,rho_{13} = rho_{23} = 0.3,rho_{13} = rho_{23} = 0.4
2,0.14358818662733683,0.11093749201158529,0.1348300662632255,0.14196982065390842
4,0.12937976268645252,0.09545274878078515,0.12615618022324454,0.13360580790359103
8,0.10839055249829574,0.0796747325090486,0.1106872022899785,0.11689350728640964
16,0.09092713199609494,0.06374288283678049,0.09243706608384439,0.09819500758060361
32,0.08047407909869864,0.05253358626248968,0.07986865804308069,0.08524006873636623
64,0.07471953446207166,0.045123848087882376,0.07215425699908488,0.0773610789522654
128,0.07158403004285846,0.041098283955316284,0.06752542460049511,0.07264255324308083
256,0.06978482533108608,0.03875716934926337,0.0648110532143669,0.06982658282899196
512,0.06890863346201904,0.0376547275226598,0.06361159048720433,0.06861358682551377
1024,0.06846294706412206,0.036993203662952,0.06287936076598027,0.06785132288464181
