n,1 feature(s),2 feature(s),3 feature(s)
2,0.188504552575212,0.14415825677680308,0.1485460570380967
4,0.18518041314110004,0.13006933618299066,0.13975492143824253
8,0.17806375719154385,0.10895766409678151,0.12027615318789119
16,0.16956507900103285,0.09114442547855134,0.09975076033093616
32,0.16428717657615796,0.08049179025555807,0.08610540650971087
64,0.1616536970782196,0.07482774359714692,0.07748096082650002
128,0.16020585972078225,0.07166234513008285,0.07242642754809593
256,0.15941798765238235,0.06978379259562002,0.06951214056930098
512,0.15899975792341975,0.0689413313474496,0.06824390040790167
1024,0.15882323226302372,0.06846293842675527,0.06750014932381514
